code,long_description,short_description
4153F,,"Therapeutic,preventive or other interventions"
4172F,,"Therapeutic,preventive or other interventions"
4245F,,"Therapeutic,preventive or other interventions"
4268F,,"Therapeutic,preventive or other interventions"
4038F,,"Therapeutic,preventive or other interventions"
4155F,,"Therapeutic,preventive or other interventions"
4201F,,"Therapeutic,preventive or other interventions"
4205F,,"Therapeutic,preventive or other interventions"
4271F,,"Therapeutic,preventive or other interventions"
4297F,,"Therapeutic,preventive or other interventions"
4081F,,"Therapeutic,preventive or other interventions"
4090F,,"Therapeutic,preventive or other interventions"
4128F,,"Therapeutic,preventive or other interventions"
4130F,,"Therapeutic,preventive or other interventions"
4193F,,"Therapeutic,preventive or other interventions"
4231F,,"Therapeutic,preventive or other interventions"
4241F,,"Therapeutic,preventive or other interventions"
4262F,,"Therapeutic,preventive or other interventions"
4305F,,"Therapeutic,preventive or other interventions"
4092F,,"Therapeutic,preventive or other interventions"
4116F,,"Therapeutic,preventive or other interventions"
4126F,,"Therapeutic,preventive or other interventions"
4203F,,"Therapeutic,preventive or other interventions"
4221F,,"Therapeutic,preventive or other interventions"
4030F,,"Therapeutic,preventive or other interventions"
4079F,,"Therapeutic,preventive or other interventions"
4166F,,"Therapeutic,preventive or other interventions"
4200F,,"Therapeutic,preventive or other interventions"
4001F,,"Therapeutic,preventive or other interventions"
4058F,,"Therapeutic,preventive or other interventions"
4139F,,"Therapeutic,preventive or other interventions"
4238F,,"Therapeutic,preventive or other interventions"
4260F,,"Therapeutic,preventive or other interventions"
4288F,,"Therapeutic,preventive or other interventions"
4045F,,"Therapeutic,preventive or other interventions"
4083F,,"Therapeutic,preventive or other interventions"
4111F,,"Therapeutic,preventive or other interventions"
4187F,,"Therapeutic,preventive or other interventions"
4197F,,"Therapeutic,preventive or other interventions"
4294F,,"Therapeutic,preventive or other interventions"
4300F,,"Therapeutic,preventive or other interventions"
4026F,,"Therapeutic,preventive or other interventions"
4039F,,"Therapeutic,preventive or other interventions"
4055F,,"Therapeutic,preventive or other interventions"
4216F,,"Therapeutic,preventive or other interventions"
4275F,,"Therapeutic,preventive or other interventions"
4281F,,"Therapeutic,preventive or other interventions"
4295F,,"Therapeutic,preventive or other interventions"
4303F,,"Therapeutic,preventive or other interventions"
4076F,,"Therapeutic,preventive or other interventions"
4151F,,"Therapeutic,preventive or other interventions"
4163F,,"Therapeutic,preventive or other interventions"
4183F,,"Therapeutic,preventive or other interventions"
4204F,,"Therapeutic,preventive or other interventions"
4270F,,"Therapeutic,preventive or other interventions"
4062F,,"Therapeutic,preventive or other interventions"
4066F,,"Therapeutic,preventive or other interventions"
4132F,,"Therapeutic,preventive or other interventions"
4147F,,"Therapeutic,preventive or other interventions"
4080F,,"Therapeutic,preventive or other interventions"
4109F,,"Therapeutic,preventive or other interventions"
4176F,,"Therapeutic,preventive or other interventions"
4267F,,"Therapeutic,preventive or other interventions"
4091F,,"Therapeutic,preventive or other interventions"
4162F,,"Therapeutic,preventive or other interventions"
4171F,,"Therapeutic,preventive or other interventions"
4199F,,"Therapeutic,preventive or other interventions"
4247F,,"Therapeutic,preventive or other interventions"
4006F,,"Therapeutic,preventive or other interventions"
4018F,,"Therapeutic,preventive or other interventions"
4087F,,"Therapeutic,preventive or other interventions"
4100F,,"Therapeutic,preventive or other interventions"
4102F,,"Therapeutic,preventive or other interventions"
4160F,,"Therapeutic,preventive or other interventions"
4192F,,"Therapeutic,preventive or other interventions"
4224F,,"Therapeutic,preventive or other interventions"
4242F,,"Therapeutic,preventive or other interventions"
4000F,,"Therapeutic,preventive or other interventions"
4022F,,"Therapeutic,preventive or other interventions"
4046F,,"Therapeutic,preventive or other interventions"
4084F,,"Therapeutic,preventive or other interventions"
4181F,,"Therapeutic,preventive or other interventions"
4222F,,"Therapeutic,preventive or other interventions"
4239F,,"Therapeutic,preventive or other interventions"
4254F,,"Therapeutic,preventive or other interventions"
4051F,,"Therapeutic,preventive or other interventions"
4113F,,"Therapeutic,preventive or other interventions"
4125F,,"Therapeutic,preventive or other interventions"
4133F,,"Therapeutic,preventive or other interventions"
4161F,,"Therapeutic,preventive or other interventions"
4020F,,"Therapeutic,preventive or other interventions"
4042F,,"Therapeutic,preventive or other interventions"
4064F,,"Therapeutic,preventive or other interventions"
4108F,,"Therapeutic,preventive or other interventions"
4135F,,"Therapeutic,preventive or other interventions"
4164F,,"Therapeutic,preventive or other interventions"
4265F,,"Therapeutic,preventive or other interventions"
4043F,,"Therapeutic,preventive or other interventions"
4096F,,"Therapeutic,preventive or other interventions"
4190F,,"Therapeutic,preventive or other interventions"
4226F,,"Therapeutic,preventive or other interventions"
4258F,,"Therapeutic,preventive or other interventions"
4306F,,"Therapeutic,preventive or other interventions"
4056F,,"Therapeutic,preventive or other interventions"
4057F,,"Therapeutic,preventive or other interventions"
4178F,,"Therapeutic,preventive or other interventions"
4185F,,"Therapeutic,preventive or other interventions"
4212F,,"Therapeutic,preventive or other interventions"
4217F,,"Therapeutic,preventive or other interventions"
4218F,,"Therapeutic,preventive or other interventions"
4227F,,"Therapeutic,preventive or other interventions"
4233F,,"Therapeutic,preventive or other interventions"
4280F,,"Therapeutic,preventive or other interventions"
4017F,,"Therapeutic,preventive or other interventions"
4157F,,"Therapeutic,preventive or other interventions"
4165F,,"Therapeutic,preventive or other interventions"
4194F,,"Therapeutic,preventive or other interventions"
4256F,,"Therapeutic,preventive or other interventions"
4272F,,"Therapeutic,preventive or other interventions"
4284F,,"Therapeutic,preventive or other interventions"
4007F,,"Therapeutic,preventive or other interventions"
4129F,,"Therapeutic,preventive or other interventions"
4140F,,"Therapeutic,preventive or other interventions"
4182F,,"Therapeutic,preventive or other interventions"
4207F,,"Therapeutic,preventive or other interventions"
4014F,,"Therapeutic,preventive or other interventions"
4065F,,"Therapeutic,preventive or other interventions"
4069F,,"Therapeutic,preventive or other interventions"
4075F,,"Therapeutic,preventive or other interventions"
4094F,,"Therapeutic,preventive or other interventions"
4095F,,"Therapeutic,preventive or other interventions"
4148F,,"Therapeutic,preventive or other interventions"
4211F,,"Therapeutic,preventive or other interventions"
4252F,,"Therapeutic,preventive or other interventions"
4086F,,"Therapeutic,preventive or other interventions"
4112F,,"Therapeutic,preventive or other interventions"
4174F,,"Therapeutic,preventive or other interventions"
4255F,,"Therapeutic,preventive or other interventions"
4101F,,"Therapeutic,preventive or other interventions"
4195F,,"Therapeutic,preventive or other interventions"
4229F,,"Therapeutic,preventive or other interventions"
4257F,,"Therapeutic,preventive or other interventions"
4067F,,"Therapeutic,preventive or other interventions"
4103F,,"Therapeutic,preventive or other interventions"
4127F,,"Therapeutic,preventive or other interventions"
4137F,,"Therapeutic,preventive or other interventions"
4186F,,"Therapeutic,preventive or other interventions"
4198F,,"Therapeutic,preventive or other interventions"
4215F,,"Therapeutic,preventive or other interventions"
4240F,,"Therapeutic,preventive or other interventions"
4304F,,"Therapeutic,preventive or other interventions"
4002F,,"Therapeutic,preventive or other interventions"
4021F,,"Therapeutic,preventive or other interventions"
4036F,,"Therapeutic,preventive or other interventions"
4143F,,"Therapeutic,preventive or other interventions"
4154F,,"Therapeutic,preventive or other interventions"
4184F,,"Therapeutic,preventive or other interventions"
4264F,,"Therapeutic,preventive or other interventions"
4085F,,"Therapeutic,preventive or other interventions"
4146F,,"Therapeutic,preventive or other interventions"
4019F,,"Therapeutic,preventive or other interventions"
4034F,,"Therapeutic,preventive or other interventions"
4060F,,"Therapeutic,preventive or other interventions"
4063F,,"Therapeutic,preventive or other interventions"
4078F,,"Therapeutic,preventive or other interventions"
4123F,,"Therapeutic,preventive or other interventions"
4173F,,"Therapeutic,preventive or other interventions"
4208F,,"Therapeutic,preventive or other interventions"
4263F,,"Therapeutic,preventive or other interventions"
4290F,,"Therapeutic,preventive or other interventions"
4301F,,"Therapeutic,preventive or other interventions"
4177F,,"Therapeutic,preventive or other interventions"
4206F,,"Therapeutic,preventive or other interventions"
4214F,,"Therapeutic,preventive or other interventions"
4223F,,"Therapeutic,preventive or other interventions"
4228F,,"Therapeutic,preventive or other interventions"
4278F,,"Therapeutic,preventive or other interventions"
4003F,,"Therapeutic,preventive or other interventions"
4010F,,"Therapeutic,preventive or other interventions"
4024F,,"Therapeutic,preventive or other interventions"
4145F,,"Therapeutic,preventive or other interventions"
4210F,,"Therapeutic,preventive or other interventions"
4230F,,"Therapeutic,preventive or other interventions"
4285F,,"Therapeutic,preventive or other interventions"
4025F,,"Therapeutic,preventive or other interventions"
4097F,,"Therapeutic,preventive or other interventions"
4098F,,"Therapeutic,preventive or other interventions"
4115F,,"Therapeutic,preventive or other interventions"
4219F,,"Therapeutic,preventive or other interventions"
4286F,,"Therapeutic,preventive or other interventions"
4292F,,"Therapeutic,preventive or other interventions"
4296F,,"Therapeutic,preventive or other interventions"
4047F,,"Therapeutic,preventive or other interventions"
4099F,,"Therapeutic,preventive or other interventions"
4106F,,"Therapeutic,preventive or other interventions"
4118F,,"Therapeutic,preventive or other interventions"
4225F,,"Therapeutic,preventive or other interventions"
4276F,,"Therapeutic,preventive or other interventions"
4279F,,"Therapeutic,preventive or other interventions"
4013F,,"Therapeutic,preventive or other interventions"
4040F,,"Therapeutic,preventive or other interventions"
4169F,,"Therapeutic,preventive or other interventions"
4209F,,"Therapeutic,preventive or other interventions"
4282F,,"Therapeutic,preventive or other interventions"
4050F,,"Therapeutic,preventive or other interventions"
4144F,,"Therapeutic,preventive or other interventions"
4189F,,"Therapeutic,preventive or other interventions"
4033F,,"Therapeutic,preventive or other interventions"
4035F,,"Therapeutic,preventive or other interventions"
4053F,,"Therapeutic,preventive or other interventions"
4059F,,"Therapeutic,preventive or other interventions"
4121F,,"Therapeutic,preventive or other interventions"
4287F,,"Therapeutic,preventive or other interventions"
4041F,,"Therapeutic,preventive or other interventions"
4071F,,"Therapeutic,preventive or other interventions"
4072F,,"Therapeutic,preventive or other interventions"
4167F,,"Therapeutic,preventive or other interventions"
4236F,,"Therapeutic,preventive or other interventions"
4277F,,"Therapeutic,preventive or other interventions"
4028F,,"Therapeutic,preventive or other interventions"
4191F,,"Therapeutic,preventive or other interventions"
4023F,,"Therapeutic,preventive or other interventions"
4027F,,"Therapeutic,preventive or other interventions"
4029F,,"Therapeutic,preventive or other interventions"
4070F,,"Therapeutic,preventive or other interventions"
4120F,,"Therapeutic,preventive or other interventions"
4150F,,"Therapeutic,preventive or other interventions"
4158F,,"Therapeutic,preventive or other interventions"
4246F,,"Therapeutic,preventive or other interventions"
4031F,,"Therapeutic,preventive or other interventions"
4107F,,"Therapeutic,preventive or other interventions"
4110F,,"Therapeutic,preventive or other interventions"
4131F,,"Therapeutic,preventive or other interventions"
4156F,,"Therapeutic,preventive or other interventions"
4251F,,"Therapeutic,preventive or other interventions"
4293F,,"Therapeutic,preventive or other interventions"
4032F,,"Therapeutic,preventive or other interventions"
4052F,,"Therapeutic,preventive or other interventions"
4134F,,"Therapeutic,preventive or other interventions"
4141F,,"Therapeutic,preventive or other interventions"
4159F,,"Therapeutic,preventive or other interventions"
4234F,,"Therapeutic,preventive or other interventions"
4243F,,"Therapeutic,preventive or other interventions"
4250F,,"Therapeutic,preventive or other interventions"
4261F,,"Therapeutic,preventive or other interventions"
4269F,,"Therapeutic,preventive or other interventions"
4302F,,"Therapeutic,preventive or other interventions"
0232T,,Injection(s)
0488T,,Behavior Analysis
0524T,,Ablation Procedures
0485T,,Diagnostic procedures
0486T,,Diagnostic procedures
0541T,,Cardiac Muscle Imaging
0563T,,Procedures on Eye Glands
0497T,,Cardiac imaging procedures
0533T,,Movement Disorder Analysis
0534T,,Movement Disorder Analysis
0535T,,Movement Disorder Analysis
0538T,,Cellular Therapy Procedures
0537T,,Cellular Therapy Procedures
0539T,,Cellular Therapy Procedures
0588T,,Neurostimulation Procedures
0587T,,Neurostimulation Procedures
0589T,,Neurostimulation Procedures
0558T,,Computed Tomography Analysis
0370T,,Adaptive Behavior Assessments
0366T,,Adaptive Behavior Assessments
0363T,,Adaptive Behavior Assessments
0372T,,Adaptive Behavior Assessments
0371T,,Adaptive Behavior Assessments
0364T,,Adaptive Behavior Assessments
0365T,,Adaptive Behavior Assessments
0362T,,Adaptive Behavior Assessments
0369T,,Adaptive Behavior Assessments
0368T,,Adaptive Behavior Assessments
0367T,,Adaptive Behavior Assessments
0592T,,Health And Well-Being Coaching
0591T,,Health And Well-Being Coaching
0543T,,Cardiac Valve Repair Procedures
0544T,,Cardiac Valve Repair Procedures
0585T,,Islet Cell Transplant Procedure
0584T,,Islet Cell Transplant Procedure
0499T,,Procedures performed on Urethra
0495T,,Organ transplantation procedures
0494T,,Organ transplantation procedures
0384T,,Other Procedures and Assessments
0379T,,Other Procedures and Assessments
0381T,,Other Procedures and Assessments
0376T,,Other Procedures and Assessments
0385T,,Other Procedures and Assessments
0378T,,Other Procedures and Assessments
0382T,,Other Procedures and Assessments
0377T,,Other Procedures and Assessments
0380T,,Other Procedures and Assessments
0383T,,Other Procedures and Assessments
0561T,,Anatomic Model And Guide Creation
0559T,,Anatomic Model And Guide Creation
0560T,,Anatomic Model And Guide Creation
0548T,,Incontinence Management Procedures
0549T,,Incontinence Management Procedures
0550T,,Incontinence Management Procedures
0500T,,Human Papillomavirus (HPV) analysis
0552T,,Laser Therapy and Implant Procedures
0088T,,Various Services - Category III Codes
0102T,,Various Services - Category III Codes
0137T,,Various Services - Category III Codes
0161T,,Various Services - Category III Codes
0178T,,Various Services - Category III Codes
0182T,,Various Services - Category III Codes
0044T,,Various Services - Category III Codes
0173T,,Various Services - Category III Codes
0023T,,Various Services - Category III Codes
0124T,,Various Services - Category III Codes
0134T,,Various Services - Category III Codes
0147T,,Various Services - Category III Codes
0083T,,Various Services - Category III Codes
0159T,,Various Services - Category III Codes
0177T,,Various Services - Category III Codes
0045T,,Various Services - Category III Codes
0064T,,Various Services - Category III Codes
0080T,,Various Services - Category III Codes
0165T,,Various Services - Category III Codes
0099T,,Various Services - Category III Codes
0107T,,Various Services - Category III Codes
0127T,,Various Services - Category III Codes
0039T,,Various Services - Category III Codes
0062T,,Various Services - Category III Codes
0018T,,Various Services - Category III Codes
0022T,,Various Services - Category III Codes
0034T,,Various Services - Category III Codes
0057T,,Various Services - Category III Codes
0132T,,Various Services - Category III Codes
0038T,,Various Services - Category III Codes
0070T,,Various Services - Category III Codes
0104T,,Various Services - Category III Codes
0152T,,Various Services - Category III Codes
0160T,,Various Services - Category III Codes
0019T,,Various Services - Category III Codes
0153T,,Various Services - Category III Codes
0031T,,Various Services - Category III Codes
0048T,,Various Services - Category III Codes
0073T,,Various Services - Category III Codes
0100T,,Various Services - Category III Codes
0138T,,Various Services - Category III Codes
0139T,,Various Services - Category III Codes
0158T,,Various Services - Category III Codes
0163T,,Various Services - Category III Codes
0183T,,Various Services - Category III Codes
0035T,,Various Services - Category III Codes
0089T,,Various Services - Category III Codes
0093T,,Various Services - Category III Codes
0151T,,Various Services - Category III Codes
0174T,,Various Services - Category III Codes
0164T,,Various Services - Category III Codes
0069T,,Various Services - Category III Codes
0086T,,Various Services - Category III Codes
0096T,,Various Services - Category III Codes
0154T,,Various Services - Category III Codes
0033T,,Various Services - Category III Codes
0135T,,Various Services - Category III Codes
0054T,,Various Services - Category III Codes
0075T,,Various Services - Category III Codes
0076T,,Various Services - Category III Codes
0119T,,Various Services - Category III Codes
0145T,,Various Services - Category III Codes
0028T,,Various Services - Category III Codes
0032T,,Various Services - Category III Codes
0051T,,Various Services - Category III Codes
0156T,,Various Services - Category III Codes
0113T,,Various Services - Category III Codes
0123T,,Various Services - Category III Codes
0133T,,Various Services - Category III Codes
0162T,,Various Services - Category III Codes
0021T,,Various Services - Category III Codes
0042T,,Various Services - Category III Codes
0144T,,Various Services - Category III Codes
0117T,,Various Services - Category III Codes
0148T,,Various Services - Category III Codes
0167T,,Various Services - Category III Codes
0125T,,Various Services - Category III Codes
0142T,,Various Services - Category III Codes
0101T,,Various Services - Category III Codes
0157T,,Various Services - Category III Codes
0030T,,Various Services - Category III Codes
0036T,,Various Services - Category III Codes
0063T,,Various Services - Category III Codes
0016T,,Various Services - Category III Codes
0077T,,Various Services - Category III Codes
0121T,,Various Services - Category III Codes
0130T,,Various Services - Category III Codes
0106T,,Various Services - Category III Codes
0059T,,Various Services - Category III Codes
0090T,,Various Services - Category III Codes
0105T,,Various Services - Category III Codes
0122T,,Various Services - Category III Codes
0128T,,Various Services - Category III Codes
0020T,,Various Services - Category III Codes
0087T,,Various Services - Category III Codes
0115T,,Various Services - Category III Codes
0129T,,Various Services - Category III Codes
0136T,,Various Services - Category III Codes
0143T,,Various Services - Category III Codes
0150T,,Various Services - Category III Codes
0169T,,Various Services - Category III Codes
0046T,,Various Services - Category III Codes
0067T,,Various Services - Category III Codes
0082T,,Various Services - Category III Codes
0094T,,Various Services - Category III Codes
0103T,,Various Services - Category III Codes
0026T,,Various Services - Category III Codes
0037T,,Various Services - Category III Codes
0071T,,Various Services - Category III Codes
0092T,,Various Services - Category III Codes
0108T,,Various Services - Category III Codes
0024T,,Various Services - Category III Codes
0029T,,Various Services - Category III Codes
0078T,,Various Services - Category III Codes
0098T,,Various Services - Category III Codes
0111T,,Various Services - Category III Codes
0126T,,Various Services - Category III Codes
0184T,,Various Services - Category III Codes
0056T,,Various Services - Category III Codes
0170T,,Various Services - Category III Codes
0097T,,Various Services - Category III Codes
0049T,,Various Services - Category III Codes
0061T,,Various Services - Category III Codes
0084T,,Various Services - Category III Codes
0095T,,Various Services - Category III Codes
0171T,,Various Services - Category III Codes
0052T,,Various Services - Category III Codes
0112T,,Various Services - Category III Codes
0109T,,Various Services - Category III Codes
0116T,,Various Services - Category III Codes
0041T,,Various Services - Category III Codes
0047T,,Various Services - Category III Codes
0058T,,Various Services - Category III Codes
0120T,,Various Services - Category III Codes
0131T,,Various Services - Category III Codes
0168T,,Various Services - Category III Codes
0060T,,Various Services - Category III Codes
0114T,,Various Services - Category III Codes
0172T,,Various Services - Category III Codes
0040T,,Various Services - Category III Codes
0141T,,Various Services - Category III Codes
0176T,,Various Services - Category III Codes
0179T,,Various Services - Category III Codes
0072T,,Various Services - Category III Codes
0017T,,Various Services - Category III Codes
0043T,,Various Services - Category III Codes
0050T,,Various Services - Category III Codes
0055T,,Various Services - Category III Codes
0085T,,Various Services - Category III Codes
0091T,,Various Services - Category III Codes
0149T,,Various Services - Category III Codes
0065T,,Various Services - Category III Codes
0068T,,Various Services - Category III Codes
0079T,,Various Services - Category III Codes
0155T,,Various Services - Category III Codes
0180T,,Various Services - Category III Codes
0027T,,Various Services - Category III Codes
0066T,,Various Services - Category III Codes
0074T,,Various Services - Category III Codes
0146T,,Various Services - Category III Codes
0025T,,Various Services - Category III Codes
0081T,,Various Services - Category III Codes
0110T,,Various Services - Category III Codes
0166T,,Various Services - Category III Codes
0053T,,Various Services - Category III Codes
0118T,,Various Services - Category III Codes
0140T,,Various Services - Category III Codes
0175T,,Various Services - Category III Codes
0181T,,Various Services - Category III Codes
0503T,,Coronary artery disease (CAD) analysis
0502T,,Coronary artery disease (CAD) analysis
0501T,,Coronary artery disease (CAD) analysis
0511T,,"Vision Studies, Implants and Therapies"
0512T,,"Vision Studies, Implants and Therapies"
0513T,,"Vision Studies, Implants and Therapies"
0509T,,"Vision Studies, Implants and Therapies"
0510T,,"Vision Studies, Implants and Therapies"
0556T,,Bone Strength And Fracture Risk Assessment
0555T,,Bone Strength And Fracture Risk Assessment
0554T,,Bone Strength And Fracture Risk Assessment
0530T,,Intracardiac Ischemia Monitoring Procedures
0529T,,Intracardiac Ischemia Monitoring Procedures
0526T,,Intracardiac Ischemia Monitoring Procedures
0527T,,Intracardiac Ischemia Monitoring Procedures
0525T,,Intracardiac Ischemia Monitoring Procedures
0528T,,Intracardiac Ischemia Monitoring Procedures
0531T,,Intracardiac Ischemia Monitoring Procedures
0505T,,Other Diagnostic and Therapeutic Procedures
0506T,,Other Diagnostic and Therapeutic Procedures
0507T,,Other Diagnostic and Therapeutic Procedures
0459T,,Phrenic Nerve Stimulation System Procedures
0424T,,Phrenic Nerve Stimulation System Procedures
0454T,,Phrenic Nerve Stimulation System Procedures
0456T,,Phrenic Nerve Stimulation System Procedures
0431T,,Phrenic Nerve Stimulation System Procedures
0437T,,Phrenic Nerve Stimulation System Procedures
0443T,,Phrenic Nerve Stimulation System Procedures
0440T,,Phrenic Nerve Stimulation System Procedures
0449T,,Phrenic Nerve Stimulation System Procedures
0428T,,Phrenic Nerve Stimulation System Procedures
0447T,,Phrenic Nerve Stimulation System Procedures
0453T,,Phrenic Nerve Stimulation System Procedures
0439T,,Phrenic Nerve Stimulation System Procedures
0429T,,Phrenic Nerve Stimulation System Procedures
0448T,,Phrenic Nerve Stimulation System Procedures
0426T,,Phrenic Nerve Stimulation System Procedures
0446T,,Phrenic Nerve Stimulation System Procedures
0442T,,Phrenic Nerve Stimulation System Procedures
0455T,,Phrenic Nerve Stimulation System Procedures
0463T,,Phrenic Nerve Stimulation System Procedures
0467T,,Phrenic Nerve Stimulation System Procedures
0438T,,Phrenic Nerve Stimulation System Procedures
0430T,,Phrenic Nerve Stimulation System Procedures
0466T,,Phrenic Nerve Stimulation System Procedures
0450T,,Phrenic Nerve Stimulation System Procedures
0452T,,Phrenic Nerve Stimulation System Procedures
0444T,,Phrenic Nerve Stimulation System Procedures
0462T,,Phrenic Nerve Stimulation System Procedures
0464T,,Phrenic Nerve Stimulation System Procedures
0436T,,Phrenic Nerve Stimulation System Procedures
0435T,,Phrenic Nerve Stimulation System Procedures
0441T,,Phrenic Nerve Stimulation System Procedures
0425T,,Phrenic Nerve Stimulation System Procedures
0445T,,Phrenic Nerve Stimulation System Procedures
0457T,,Phrenic Nerve Stimulation System Procedures
0465T,,Phrenic Nerve Stimulation System Procedures
0432T,,Phrenic Nerve Stimulation System Procedures
0458T,,Phrenic Nerve Stimulation System Procedures
0433T,,Phrenic Nerve Stimulation System Procedures
0434T,,Phrenic Nerve Stimulation System Procedures
0427T,,Phrenic Nerve Stimulation System Procedures
0460T,,Phrenic Nerve Stimulation System Procedures
0451T,,Phrenic Nerve Stimulation System Procedures
0461T,,Phrenic Nerve Stimulation System Procedures
0411T,,Pacemaker – Leadless and Pocketless System
0414T,,Pacemaker – Leadless and Pocketless System
0394T,,Pacemaker – Leadless and Pocketless System
0396T,,Pacemaker – Leadless and Pocketless System
0415T,,Pacemaker – Leadless and Pocketless System
0407T,,Pacemaker – Leadless and Pocketless System
0413T,,Pacemaker – Leadless and Pocketless System
0417T,,Pacemaker – Leadless and Pocketless System
0416T,,Pacemaker – Leadless and Pocketless System
0412T,,Pacemaker – Leadless and Pocketless System
0395T,,Pacemaker – Leadless and Pocketless System
0397T,,Pacemaker – Leadless and Pocketless System
0399T,,Pacemaker – Leadless and Pocketless System
0422T,,Pacemaker – Leadless and Pocketless System
0409T,,Pacemaker – Leadless and Pocketless System
0418T,,Pacemaker – Leadless and Pocketless System
0404T,,Pacemaker – Leadless and Pocketless System
0400T,,Pacemaker – Leadless and Pocketless System
0401T,,Pacemaker – Leadless and Pocketless System
0403T,,Pacemaker – Leadless and Pocketless System
0398T,,Pacemaker – Leadless and Pocketless System
0420T,,Pacemaker – Leadless and Pocketless System
0408T,,Pacemaker – Leadless and Pocketless System
0405T,,Pacemaker – Leadless and Pocketless System
0421T,,Pacemaker – Leadless and Pocketless System
0410T,,Pacemaker – Leadless and Pocketless System
0402T,,Pacemaker – Leadless and Pocketless System
0406T,,Pacemaker – Leadless and Pocketless System
0419T,,Pacemaker – Leadless and Pocketless System
0565T,,"Chemo Drug Essay, Implant and Other Procedures"
0566T,,"Chemo Drug Essay, Implant and Other Procedures"
0564T,,"Chemo Drug Essay, Implant and Other Procedures"
0567T,,"Chemo Drug Essay, Implant and Other Procedures"
0568T,,"Chemo Drug Essay, Implant and Other Procedures"
0333T,,"Imaging, Testing, Implantation and Other Services"
0339T,,"Imaging, Testing, Implantation and Other Services"
0354T,,"Imaging, Testing, Implantation and Other Services"
0329T,,"Imaging, Testing, Implantation and Other Services"
0336T,,"Imaging, Testing, Implantation and Other Services"
0330T,,"Imaging, Testing, Implantation and Other Services"
0334T,,"Imaging, Testing, Implantation and Other Services"
0344T,,"Imaging, Testing, Implantation and Other Services"
0350T,,"Imaging, Testing, Implantation and Other Services"
0357T,,"Imaging, Testing, Implantation and Other Services"
0331T,,"Imaging, Testing, Implantation and Other Services"
0349T,,"Imaging, Testing, Implantation and Other Services"
0343T,,"Imaging, Testing, Implantation and Other Services"
0356T,,"Imaging, Testing, Implantation and Other Services"
0348T,,"Imaging, Testing, Implantation and Other Services"
0332T,,"Imaging, Testing, Implantation and Other Services"
0345T,,"Imaging, Testing, Implantation and Other Services"
0355T,,"Imaging, Testing, Implantation and Other Services"
0337T,,"Imaging, Testing, Implantation and Other Services"
0346T,,"Imaging, Testing, Implantation and Other Services"
0351T,,"Imaging, Testing, Implantation and Other Services"
0341T,,"Imaging, Testing, Implantation and Other Services"
0342T,,"Imaging, Testing, Implantation and Other Services"
0352T,,"Imaging, Testing, Implantation and Other Services"
0347T,,"Imaging, Testing, Implantation and Other Services"
0338T,,"Imaging, Testing, Implantation and Other Services"
0340T,,"Imaging, Testing, Implantation and Other Services"
0335T,,"Imaging, Testing, Implantation and Other Services"
0353T,,"Imaging, Testing, Implantation and Other Services"
0581T,,Ablation Procedures0583TProcedures Peformed on Ear
0483T,,Cardiac diagnostic imaging and surgical procedures
0475T,,"Imaging, evaluation, programming and recording procedures"
0471T,,"Imaging, evaluation, programming and recording procedures"
0473T,,"Imaging, evaluation, programming and recording procedures"
0469T,,"Imaging, evaluation, programming and recording procedures"
0474T,,"Imaging, evaluation, programming and recording procedures"
0472T,,"Imaging, evaluation, programming and recording procedures"
0470T,,"Imaging, evaluation, programming and recording procedures"
0476T,,"Imaging, evaluation, programming and recording procedures"
0477T,,"Imaging, evaluation, programming and recording procedures"
0576T,,Cardiac Procedures with Evaluation on Valves and ICD System
0579T,,Cardiac Procedures with Evaluation on Valves and ICD System
0577T,,Cardiac Procedures with Evaluation on Valves and ICD System
0570T,,Cardiac Procedures with Evaluation on Valves and ICD System
0573T,,Cardiac Procedures with Evaluation on Valves and ICD System
0578T,,Cardiac Procedures with Evaluation on Valves and ICD System
0572T,,Cardiac Procedures with Evaluation on Valves and ICD System
0569T,,Cardiac Procedures with Evaluation on Valves and ICD System
0575T,,Cardiac Procedures with Evaluation on Valves and ICD System
0574T,,Cardiac Procedures with Evaluation on Valves and ICD System
0571T,,Cardiac Procedures with Evaluation on Valves and ICD System
0518T,,"Cardiac Device Implantation, Analysis and Removal Procedures"
0522T,,"Cardiac Device Implantation, Analysis and Removal Procedures"
0520T,,"Cardiac Device Implantation, Analysis and Removal Procedures"
0519T,,"Cardiac Device Implantation, Analysis and Removal Procedures"
0516T,,"Cardiac Device Implantation, Analysis and Removal Procedures"
0517T,,"Cardiac Device Implantation, Analysis and Removal Procedures"
0515T,,"Cardiac Device Implantation, Analysis and Removal Procedures"
0521T,,"Cardiac Device Implantation, Analysis and Removal Procedures"
0492T,,"Cellular regeneration, evaluation study and ablation procedures"
0490T,,"Cellular regeneration, evaluation study and ablation procedures"
0489T,,"Cellular regeneration, evaluation study and ablation procedures"
0491T,,"Cellular regeneration, evaluation study and ablation procedures"
0479T,,Laser ablation procedures0481TBlood products transfusion procedure
0546T,,Radiofrequency Spectrometry Assessment and Bone Quality Testing Procedures
0242T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0251T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
0284T,,Atherectomy (Open or Percutaneous) for Supra-Inguinal Arteries and Other Undefined Category Codes
